time	sig 0	sig 1
 14.977	 -0.115	 -0.075
 14.984	 -0.135	 -0.035
 14.992	 -0.165	 -0.045
 15.000	 -0.175	 -0.035
 15.008	 -0.165	 -0.025
 15.016	 -0.145	 -0.015
 15.023	 -0.195	 -0.005
 15.031	 -0.215	 -0.025
 15.039	 -0.195	 -0.025
 15.047	 -0.175	 -0.015
 15.055	 -0.155	 -0.025
 15.062	 -0.205	 -0.025
 15.070	 -0.165	 -0.015
 15.078	 -0.155	 -0.015
 15.086	 -0.165	 -0.025
 15.094	 -0.165	 -0.035
 15.102	 -0.185	 -0.025
 15.109	 -0.155	 -0.025
 15.117	 -0.175	 -0.015
 15.125	 -0.175	 -0.015
 15.133	 -0.215	 -0.035
 15.141	 -0.175	 -0.025
 15.148	 -0.155	 -0.035
 15.156	 -0.165	 -0.005
 15.164	 -0.125	  0.015
 15.172	 -0.115	  0.035
 15.180	 -0.055	  0.025
 15.188	  0.025	 -0.035
 15.195	 -0.045	 -0.075
 15.203	 -0.135	 -0.065
 15.211	 -0.155	 -0.065
 15.219	 -0.145	 -0.065
 15.227	 -0.255	 -0.035
 15.234	 -0.165	 -0.035
 15.242	 -0.195	 -0.045
 15.250	 -0.245	 -0.055
 15.258	 -0.245	 -0.065
 15.266	 -0.235	 -0.055
 15.273	 -0.255	 -0.065
 15.281	 -0.225	 -0.055
 15.289	 -0.235	  0.025
 15.297	 -0.825	  0.135
 15.305	 -0.755	 -0.085
 15.312	  0.335	 -0.515
 15.320	  1.975	 -0.245
 15.328	  2.725	 -0.035
 15.336	  2.485	  0.625
 15.344	  1.745	  0.185
 15.352	  0.045	 -0.845
 15.359	 -0.445	 -0.485
 15.367	 -0.325	 -0.105
 15.375	 -0.345	 -0.055
 15.383	 -0.375	 -0.075
 15.391	 -0.385	 -0.055
 15.398	 -0.395	 -0.085
 15.406	 -0.375	 -0.095
 15.414	 -0.345	 -0.105
 15.422	 -0.325	 -0.085
 15.430	 -0.335	 -0.105
 15.438	 -0.315	 -0.115
 15.445	 -0.285	 -0.115
 15.453	 -0.255	 -0.115
 15.461	 -0.275	 -0.145
 15.469	 -0.275	 -0.175
 15.477	 -0.225	 -0.175
 15.484	 -0.205	 -0.175
 15.492	 -0.225	 -0.215
 15.500	 -0.215	 -0.245
 15.508	 -0.195	 -0.265
 15.516	 -0.175	 -0.265
 15.523	 -0.195	 -0.285
 15.531	 -0.245	 -0.285
 15.539	 -0.225	 -0.265
 15.547	 -0.245	 -0.285
 15.555	 -0.235	 -0.245
 15.562	 -0.215	 -0.215
 15.570	 -0.155	 -0.145
 15.578	 -0.135	 -0.125
 15.586	 -0.155	 -0.075
 15.594	 -0.155	 -0.055
 15.602	 -0.125	 -0.005
 15.609	 -0.175	  0.005
 15.617	 -0.195	 -0.025
 15.625	 -0.175	 -0.025
 15.633	 -0.175	 -0.005
 15.641	 -0.175	  0.005
 15.648	 -0.175	 -0.005
 15.656	 -0.215	  0.005
 15.664	 -0.185	 -0.005
 15.672	 -0.155	 -0.005
 15.680	 -0.195	 -0.015
 15.688	 -0.175	 -0.015
 15.695	 -0.175	 -0.015
 15.703	 -0.185	  0.005
 15.711	 -0.155	  0.015
 15.719	 -0.205	 -0.015
 15.727	 -0.185	 -0.035
 15.734	 -0.175	  0.005
 15.742	 -0.145	 -0.015
 15.750	 -0.225	 -0.015
 15.758	 -0.165	 -0.005
 15.766	 -0.105	  0.045
 15.773	 -0.125	  0.045
 15.781	 -0.125	  0.065
 15.789	 -0.045	  0.085
 15.797	 -0.015	  0.005
 15.805	 -0.045	 -0.015
 15.812	 -0.085	 -0.055
 15.820	 -0.185	 -0.035
 15.828	 -0.175	 -0.005
 15.836	 -0.165	  0.005
 15.844	 -0.175	 -0.015
 15.852	 -0.215	 -0.005
 15.859	 -0.225	 -0.015
 15.867	 -0.235	 -0.035
 15.875	 -0.235	 -0.025
 15.883	 -0.235	 -0.015
 15.891	 -0.205	 -0.015
 15.898	 -0.305	  0.095
 15.906	 -0.925	  0.195
 15.914	 -0.745	 -0.045
 15.922	  0.525	 -0.415
 15.930	  2.195	 -0.245
 15.938	  2.775	  0.005
 15.945	  2.555	  0.525
 15.953	  1.315	 -0.455
 15.961	 -0.105	 -0.765
 15.969	 -0.325	 -0.285
 15.977	 -0.265	 -0.025
 15.984	 -0.315	  0.015
 15.992	 -0.365	 -0.015
 16.000	 -0.385	 -0.025
 16.008	 -0.385	 -0.035
 16.016	 -0.345	 -0.015
 16.023	 -0.375	 -0.015
 16.031	 -0.345	 -0.065
 16.039	 -0.315	 -0.055
 16.047	 -0.315	 -0.035
 16.055	 -0.335	 -0.065
 16.062	 -0.255	 -0.075
 16.070	 -0.235	 -0.065
 16.078	 -0.215	 -0.065
 16.086	 -0.215	 -0.095
 16.094	 -0.195	 -0.135
 16.102	 -0.175	 -0.135
 16.109	 -0.165	 -0.135
 16.117	 -0.185	 -0.185
 16.125	 -0.165	 -0.195
 16.133	 -0.175	 -0.205
 16.141	 -0.225	 -0.215
 16.148	 -0.255	 -0.205
 16.156	 -0.255	 -0.215
 16.164	 -0.255	 -0.215
 16.172	 -0.255	 -0.175
 16.180	 -0.225	 -0.135
 16.188	 -0.215	 -0.105
 16.195	 -0.185	 -0.065
 16.203	 -0.185	 -0.005
 16.211	 -0.175	 -0.015
 16.219	 -0.155	 -0.015
 16.227	 -0.185	  0.005
 16.234	 -0.175	  0.035
 16.242	 -0.185	  0.035
 16.250	 -0.245	  0.005
 16.258	 -0.195	  0.015
 16.266	 -0.175	  0.035
 16.273	 -0.185	  0.045
 16.281	 -0.175	  0.005
 16.289	 -0.185	  0.005
 16.297	 -0.175	  0.025
 16.305	 -0.205	  0.015
 16.312	 -0.215	 -0.005
 16.320	 -0.175	 -0.005
 16.328	 -0.165	  0.025
 16.336	 -0.155	  0.025
 16.344	 -0.175	  0.015
 16.352	 -0.175	  0.045
 16.359	 -0.195	 -0.005
 16.367	 -0.185	  0.015
 16.375	 -0.125	  0.045
 16.383	 -0.115	  0.055
 16.391	 -0.115	  0.055
 16.398	 -0.115	  0.085
 16.406	  0.005	  0.035
 16.414	 -0.035	  0.005
 16.422	 -0.105	 -0.055
 16.430	 -0.135	 -0.025
 16.438	 -0.155	 -0.005
 16.445	 -0.165	  0.025
 16.453	 -0.195	  0.025
 16.461	 -0.245	  0.005
 16.469	 -0.225	  0.005
 16.477	 -0.235	 -0.015
 16.484	 -0.285	 -0.005
 16.492	 -0.225	 -0.005
 16.500	 -0.205	 -0.005
 16.508	 -0.215	  0.045
 16.516	 -0.735	  0.235
 16.523	 -0.835	  0.005
 16.531	  0.075	 -0.545
 16.539	  1.785	 -0.305
 16.547	  2.745	  0.105
 16.555	  2.605	  0.765
 16.562	  1.675	 -0.215
 16.570	  0.135	 -0.865
 16.578	 -0.315	 -0.295
 16.586	 -0.285	 -0.005
 16.594	 -0.365	 -0.025
 16.602	 -0.375	 -0.005
 16.609	 -0.355	 -0.015
 16.617	 -0.375	 -0.045
 16.625	 -0.375	 -0.045
 16.633	 -0.385	 -0.035
 16.641	 -0.335	 -0.075
 16.648	 -0.335	 -0.055
 16.656	 -0.305	 -0.075
 16.664	 -0.295	 -0.065
 16.672	 -0.255	 -0.085
 16.680	 -0.225	 -0.095
 16.688	 -0.225	 -0.105
 16.695	 -0.205	 -0.135
 16.703	 -0.185	 -0.155
 16.711	 -0.175	 -0.165
 16.719	 -0.165	 -0.215
 16.727	 -0.145	 -0.225
 16.734	 -0.175	 -0.225
 16.742	 -0.155	 -0.235
 16.750	 -0.175	 -0.235
 16.758	 -0.235	 -0.285
 16.766	 -0.225	 -0.255
 16.773	 -0.205	 -0.215
 16.781	 -0.225	 -0.215
 16.789	 -0.215	 -0.165
 16.797	 -0.165	 -0.085
 16.805	 -0.155	 -0.095
 16.812	 -0.155	 -0.055
 16.820	 -0.205	 -0.015
 16.828	 -0.125	  0.005
 16.836	 -0.175	  0.025
 16.844	 -0.165	 -0.005
 16.852	 -0.185	  0.015
 16.859	 -0.155	  0.065
 16.867	 -0.155	  0.005
 16.875	 -0.165	 -0.015
 16.883	 -0.175	 -0.015
 16.891	 -0.155	  0.045
 16.898	 -0.165	  0.005
 16.906	 -0.175	  0.005
 16.914	 -0.145	  0.005
 16.922	 -0.145	  0.015
 16.930	 -0.155	  0.025
 16.938	 -0.165	 -0.005
 16.945	 -0.135	 -0.005
 16.953	 -0.165	  0.025
 16.961	 -0.175	  0.005
 16.969	 -0.135	 -0.005
 16.977	 -0.145	 -0.005
 16.984	 -0.165	  0.045
 16.992	 -0.125	  0.005
 17.000	 -0.105	  0.035
 17.008	 -0.085	  0.045
 17.016	 -0.085	  0.055
 17.023	 -0.085	  0.065
 17.031	  0.035	  0.055
 17.039	  0.025	 -0.005
 17.047	 -0.045	 -0.035
 17.055	 -0.095	 -0.065
 17.062	 -0.115	 -0.025
 17.070	 -0.115	  0.005
 17.078	 -0.135	 -0.005
 17.086	 -0.155	 -0.015
 17.094	 -0.205	 -0.025
 17.102	 -0.215	 -0.035
 17.109	 -0.195	 -0.015
 17.117	 -0.195	 -0.025
 17.125	 -0.195	 -0.045
 17.133	 -0.175	 -0.015
 17.141	 -0.325	  0.175
 17.148	 -0.845	  0.065
 17.156	 -0.585	 -0.385
 17.164	  1.055	 -0.635
 17.172	  2.595	 -0.125
 17.180	  2.755	  0.605
 17.188	  2.315	  0.625
 17.195	  0.725	 -0.715
 17.203	 -0.265	 -0.645
 17.211	 -0.265	 -0.165
 17.219	 -0.315	 -0.055
 17.227	 -0.305	 -0.075
 17.234	 -0.305	 -0.045
 17.242	 -0.375	 -0.095
 17.250	 -0.325	 -0.085
 17.258	 -0.305	 -0.065
 17.266	 -0.315	 -0.095
 17.273	 -0.265	 -0.105
 17.281	 -0.275	 -0.105
 17.289	 -0.265	 -0.095
 17.297	 -0.245	 -0.105
 17.305	 -0.235	 -0.125
 17.312	 -0.175	 -0.125
 17.320	 -0.145	 -0.135
 17.328	 -0.135	 -0.145
 17.336	 -0.125	 -0.165
 17.344	 -0.115	 -0.195
 17.352	 -0.125	 -0.205
 17.359	 -0.135	 -0.195
 17.367	 -0.105	 -0.245
 17.375	 -0.125	 -0.235
 17.383	 -0.145	 -0.225
 17.391	 -0.175	 -0.225
 17.398	 -0.175	 -0.215
 17.406	 -0.155	 -0.185
 17.414	 -0.105	 -0.165
 17.422	 -0.095	 -0.115
 17.430	 -0.065	 -0.075
 17.438	 -0.065	 -0.055
 17.445	 -0.095	 -0.035
 17.453	 -0.095	 -0.005
 17.461	 -0.125	 -0.005
 17.469	 -0.095	 -0.025
 17.477	 -0.125	 -0.015
 17.484	 -0.085	  0.015
 17.492	 -0.125	  0.015
 17.500	 -0.115	 -0.015
 17.508	 -0.125	 -0.015
 17.516	 -0.105	  0.015
 17.523	 -0.105	 -0.015
 17.531	 -0.095	 -0.015
 17.539	 -0.115	 -0.005
 17.547	 -0.085	  0.005
 17.555	 -0.115	 -0.005
 17.562	 -0.155	 -0.015
 17.570	 -0.115	 -0.015
 17.578	 -0.105	 -0.015
 17.586	 -0.095	  0.005
 17.594	 -0.105	 -0.015
 17.602	 -0.095	 -0.005
 17.609	 -0.105	 -0.005
 17.617	 -0.115	 -0.005
 17.625	 -0.095	 -0.025
 17.633	 -0.065	  0.005
 17.641	 -0.045	  0.025
 17.648	 -0.065	  0.035
 17.656	  0.005	  0.035
 17.664	  0.025	 -0.015
 17.672	 -0.005	 -0.055
 17.680	 -0.045	 -0.055
 17.688	 -0.105	 -0.045
 17.695	 -0.095	 -0.015
 17.703	 -0.145	  0.005
 17.711	 -0.155	 -0.025
 17.719	 -0.165	 -0.055
 17.727	 -0.185	 -0.055
 17.734	 -0.195	 -0.025
 17.742	 -0.205	 -0.035
 17.750	 -0.225	 -0.045
 17.758	 -0.205	 -0.025
 17.766	 -0.225	  0.045
 17.773	 -0.765	  0.075
 17.781	 -0.655	 -0.085
 17.789	  0.475	 -0.475
 17.797	  2.165	 -0.175
 17.805	  2.655	  0.105
 17.812	  2.465	  0.615
 17.820	  1.485	 -0.015
 17.828	 -0.055	 -0.625
 17.836	 -0.405	 -0.335
 17.844	 -0.275	 -0.135
 17.852	 -0.315	 -0.075
 17.859	 -0.345	 -0.085
 17.867	 -0.345	 -0.075
 17.875	 -0.375	 -0.105
 17.883	 -0.365	 -0.095
 17.891	 -0.355	 -0.105
 17.898	 -0.355	 -0.105
 17.906	 -0.315	 -0.135
 17.914	 -0.285	 -0.135
 17.922	 -0.245	 -0.125
 17.930	 -0.225	 -0.135
 17.938	 -0.215	 -0.175
 17.945	 -0.255	 -0.205
 17.953	 -0.215	 -0.175
 17.961	 -0.175	 -0.235
 17.969	 -0.185	 -0.235
 17.977	 -0.165	 -0.285
 17.984	 -0.145	 -0.285
 17.992	 -0.175	 -0.315
 18.000	 -0.195	 -0.315
 18.008	 -0.195	 -0.295
 18.016	 -0.215	 -0.325
 18.023	 -0.205	 -0.325
 18.031	 -0.195	 -0.295
 18.039	 -0.175	 -0.255
 18.047	 -0.135	 -0.235
 18.055	 -0.125	 -0.165
 18.062	 -0.095	 -0.135
 18.070	 -0.105	 -0.095
 18.078	 -0.125	 -0.055
 18.086	 -0.155	 -0.055
 18.094	 -0.115	 -0.065
 18.102	 -0.125	 -0.065
 18.109	 -0.135	 -0.045
 18.117	 -0.155	 -0.045
 18.125	 -0.145	 -0.045
 18.133	 -0.145	 -0.065
 18.141	 -0.125	 -0.045
 18.148	 -0.135	 -0.045
 18.156	 -0.125	 -0.065
 18.164	 -0.115	 -0.055
 18.172	 -0.115	 -0.045
 18.180	 -0.145	 -0.065
 18.188	 -0.135	 -0.055
 18.195	 -0.115	 -0.035
 18.203	 -0.115	 -0.055
 18.211	 -0.125	 -0.065
 18.219	 -0.145	 -0.065
 18.227	 -0.135	 -0.085
 18.234	 -0.135	 -0.045
 18.242	 -0.165	 -0.065
 18.250	 -0.135	 -0.045
 18.258	 -0.125	 -0.015
 18.266	 -0.075	  0.025
 18.273	 -0.085	  0.005
 18.281	 -0.015	  0.015
 18.289	  0.005	 -0.065
 18.297	 -0.055	 -0.095
 18.305	 -0.075	 -0.105
 18.312	 -0.095	 -0.085
 18.320	 -0.135	 -0.085
 18.328	 -0.155	 -0.035
 18.336	 -0.165	 -0.075
 18.344	 -0.185	 -0.075
 18.352	 -0.225	 -0.085
 18.359	 -0.225	 -0.075
 18.367	 -0.225	 -0.055
 18.375	 -0.225	 -0.075
 18.383	 -0.205	 -0.075
 18.391	 -0.195	  0.035
 18.398	 -0.755	  0.165
 18.406	 -0.735	 -0.065
 18.414	  0.355	 -0.555
 18.422	  2.085	 -0.255
 18.430	  2.825	  0.035
 18.438	  2.655	  0.625
 18.445	  1.615	 -0.365
 18.453	 -0.045	 -0.875
 18.461	 -0.365	 -0.345
 18.469	 -0.295	 -0.065
 18.477	 -0.305	 -0.045
 18.484	 -0.345	 -0.065
 18.492	 -0.365	 -0.075
 18.500	 -0.355	 -0.085
 18.508	 -0.335	 -0.095
 18.516	 -0.315	 -0.105
 18.523	 -0.305	 -0.095
 18.531	 -0.325	 -0.115
 18.539	 -0.265	 -0.115
 18.547	 -0.245	 -0.115
 18.555	 -0.245	 -0.125
 18.562	 -0.215	 -0.145
 18.570	 -0.165	 -0.125
 18.578	 -0.185	 -0.165
 18.586	 -0.185	 -0.205
 18.594	 -0.125	 -0.225
 18.602	 -0.145	 -0.245
 18.609	 -0.155	 -0.235
 18.617	 -0.135	 -0.275
 18.625	 -0.155	 -0.305
 18.633	 -0.185	 -0.295
 18.641	 -0.155	 -0.265
 18.648	 -0.215	 -0.265
 18.656	 -0.235	 -0.245
 18.664	 -0.215	 -0.235
 18.672	 -0.155	 -0.155
 18.680	 -0.145	 -0.145
 18.688	 -0.125	 -0.075
 18.695	 -0.125	 -0.085
 18.703	 -0.115	 -0.045
 18.711	 -0.155	 -0.025
 18.719	 -0.135	 -0.025
 18.727	 -0.125	 -0.025
 18.734	 -0.155	 -0.005
 18.742	 -0.155	 -0.025
 18.750	 -0.125	 -0.025
 18.758	 -0.125	  0.005
 18.766	 -0.145	 -0.005
 18.773	 -0.125	 -0.025
 18.781	 -0.155	 -0.035
 18.789	 -0.145	 -0.025
 18.797	 -0.125	  0.005
 18.805	 -0.145	 -0.025
 18.812	 -0.135	 -0.035
 18.820	 -0.085	 -0.025
 18.828	 -0.105	  0.005
 18.836	 -0.175	 -0.025
 18.844	 -0.125	 -0.045
 18.852	 -0.085	 -0.025
 18.859	 -0.135	 -0.005
 18.867	 -0.155	 -0.035
 18.875	 -0.125	 -0.035
 18.883	 -0.105	 -0.025
 18.891	 -0.065	  0.035
 18.898	 -0.055	  0.055
 18.906	 -0.095	  0.045
 18.914	 -0.025	  0.035
 18.922	  0.055	 -0.005
 18.930	 -0.035	 -0.035
 18.938	 -0.035	 -0.095
 18.945	 -0.065	 -0.055
 18.953	 -0.085	 -0.025
 18.961	 -0.105	 -0.005
 18.969	 -0.135	 -0.035
 18.977	 -0.185	 -0.055
 18.984	 -0.175	 -0.025
 18.992	 -0.185	 -0.035
 19.000	 -0.215	 -0.045
 19.008	 -0.185	 -0.055
 19.016	 -0.145	 -0.035
 19.023	 -0.135	  0.065
 19.031	 -0.675	  0.195
 19.039	 -0.745	 -0.015
 19.047	  0.215	 -0.595
 19.055	  1.955	 -0.335
 19.062	  2.835	  0.055
 19.070	  2.625	  0.695
 19.078	  1.495	 -0.505
 19.086	 -0.035	 -0.805
 19.094	 -0.275	 -0.245
 19.102	 -0.275	  0.005
 19.109	 -0.245	 -0.035
 19.117	 -0.325	 -0.045
 19.125	 -0.315	 -0.045
 19.133	 -0.325	 -0.035
 19.141	 -0.315	 -0.065
 19.148	 -0.295	 -0.055
 19.156	 -0.245	 -0.055
 19.164	 -0.275	 -0.085
 19.172	 -0.265	 -0.075
 19.180	 -0.215	 -0.075
 19.188	 -0.205	 -0.105
 19.195	 -0.185	 -0.105
 19.203	 -0.165	 -0.105
 19.211	 -0.135	 -0.135
 19.219	 -0.125	 -0.155
 19.227	 -0.125	 -0.175
 19.234	 -0.065	 -0.215
 19.242	 -0.085	 -0.225
 19.250	 -0.115	 -0.255
 19.258	 -0.085	 -0.245
 19.266	 -0.145	 -0.265
 19.273	 -0.155	 -0.285
 19.281	 -0.165	 -0.265
 19.289	 -0.185	 -0.225
 19.297	 -0.155	 -0.185
 19.305	 -0.145	 -0.175
 19.312	 -0.135	 -0.125
 19.320	 -0.125	 -0.055
 19.328	 -0.105	 -0.035
 19.336	 -0.105	 -0.015
 19.344	 -0.125	 -0.005
 19.352	 -0.135	  0.005
 19.359	 -0.095	  0.005
 19.367	 -0.135	 -0.005
 19.375	 -0.155	  0.015
 19.383	 -0.135	 -0.005
 19.391	 -0.105	  0.035
 19.398	 -0.135	  0.015
 19.406	 -0.095	 -0.005
 19.414	 -0.125	  0.005
 19.422	 -0.105	  0.015
 19.430	 -0.115	  0.025
 19.438	 -0.115	  0.025
 19.445	 -0.095	 -0.015
 19.453	 -0.105	 -0.005
 19.461	 -0.135	  0.035
 19.469	 -0.085	 -0.005
 19.477	 -0.105	 -0.025
 19.484	 -0.115	  0.005
 19.492	 -0.115	  0.005
 19.500	 -0.115	  0.015
 19.508	 -0.105	  0.005
 19.516	 -0.125	 -0.005
 19.523	 -0.125	  0.005
 19.531	 -0.105	 -0.005
 19.539	 -0.065	  0.035
 19.547	 -0.025	  0.055
 19.555	 -0.075	  0.045
 19.562	 -0.045	  0.065
 19.570	  0.045	  0.015
 19.578	  0.025	 -0.015
 19.586	 -0.025	 -0.075
 19.594	 -0.075	 -0.055
 19.602	 -0.085	 -0.035
 19.609	 -0.085	  0.015
 19.617	 -0.105	  0.015
 19.625	 -0.165	 -0.025
 19.633	 -0.165	 -0.045
 19.641	 -0.165	 -0.035
 19.648	 -0.185	 -0.005
 19.656	 -0.185	 -0.055
 19.664	 -0.145	 -0.035
 19.672	 -0.125	  0.045
 19.680	 -0.535	  0.205
 19.688	 -0.705	 -0.065
 19.695	 -0.015	 -0.665
 19.703	  1.785	 -0.345
 19.711	  2.745	  0.085
 19.719	  2.605	  0.815
 19.727	  1.695	 -0.155
 19.734	  0.165	 -0.835
 19.742	 -0.305	 -0.365
 19.750	 -0.255	 -0.045
 19.758	 -0.265	 -0.045
 19.766	 -0.315	 -0.055
 19.773	 -0.345	 -0.075
 19.781	 -0.315	 -0.075
 19.789	 -0.325	 -0.035
 19.797	 -0.285	 -0.065
 19.805	 -0.305	 -0.085
 19.812	 -0.285	 -0.095
 19.820	 -0.255	 -0.085
 19.828	 -0.245	 -0.115
 19.836	 -0.225	 -0.125
 19.844	 -0.185	 -0.135
 19.852	 -0.175	 -0.155
 19.859	 -0.175	 -0.175
 19.867	 -0.135	 -0.185
 19.875	 -0.135	 -0.205
 19.883	 -0.125	 -0.205
 19.891	 -0.095	 -0.265
 19.898	 -0.105	 -0.295
 19.906	 -0.105	 -0.295
 19.914	 -0.125	 -0.295
 19.922	 -0.145	 -0.285
 19.930	 -0.195	 -0.335
 19.938	 -0.155	 -0.295
 19.945	 -0.175	 -0.265
 19.953	 -0.135	 -0.185
 19.961	 -0.135	 -0.145
 19.969	 -0.135	 -0.105
 19.977	 -0.105	 -0.075
 19.984	 -0.125	 -0.035
 19.992	 -0.115	  0.005
 20.000	 -0.135	 -0.005
 20.008	 -0.155	 -0.005
 20.016	 -0.135	  0.015
 20.023	 -0.135	 -0.005
 20.031	 -0.175	  0.005
 20.039	 -0.155	  0.005
 20.047	 -0.145	  0.015
 20.055	 -0.135	  0.015
 20.062	 -0.155	 -0.025
 20.070	 -0.135	  0.045
 20.078	 -0.105	  0.005
 20.086	 -0.125	  0.025
 20.094	 -0.115	  0.015
 20.102	 -0.125	 -0.005
 20.109	 -0.125	  0.015
 20.117	 -0.115	  0.015
 20.125	 -0.105	 -0.005
 20.133	 -0.115	  0.005
 20.141	 -0.115	  0.025
 20.148	 -0.135	 -0.005
 20.156	 -0.135	 -0.005
 20.164	 -0.115	 -0.005
 20.172	 -0.125	  0.005
 20.180	 -0.125	 -0.005
 20.188	 -0.135	  0.025
 20.195	 -0.075	  0.045
 20.203	 -0.065	  0.055
 20.211	 -0.045	  0.045
 20.219	 -0.005	  0.055
 20.227	  0.045	 -0.005
 20.234	  0.005	 -0.035
 20.242	 -0.055	 -0.035
 20.250	 -0.085	 -0.055
 20.258	 -0.085	 -0.025
 20.266	 -0.075	  0.035
 20.273	 -0.115	 -0.005
 20.281	 -0.155	 -0.025
 20.289	 -0.155	 -0.035
 20.297	 -0.145	 -0.015
 20.305	 -0.145	 -0.015
 20.312	 -0.165	 -0.035
 20.320	 -0.165	  0.005
 20.328	 -0.115	  0.045
 20.336	 -0.525	  0.185
 20.344	 -0.675	 -0.105
 20.352	 -0.035	 -0.685
 20.359	  1.635	 -0.355
 20.367	  2.615	  0.145
 20.375	  2.515	  0.905
 20.383	  1.975	  0.235
 20.391	  0.455	 -0.825
 20.398	 -0.265	 -0.445
 20.406	 -0.225	 -0.085
 20.414	 -0.245	 -0.065
 20.422	 -0.285	 -0.045
 20.430	 -0.305	 -0.055
 20.438	 -0.295	 -0.085
 20.445	 -0.335	 -0.095
 20.453	 -0.255	 -0.075
 20.461	 -0.235	 -0.085
 20.469	 -0.225	 -0.105
 20.477	 -0.235	 -0.105
 20.484	 -0.215	 -0.095
 20.492	 -0.215	 -0.165
 20.500	 -0.175	 -0.175
 20.508	 -0.145	 -0.185
 20.516	 -0.155	 -0.175
 20.523	 -0.095	 -0.205
 20.531	 -0.085	 -0.255
 20.539	 -0.125	 -0.275
 20.547	 -0.105	 -0.325
 20.555	 -0.085	 -0.335
 20.562	 -0.075	 -0.355
 20.570	 -0.105	 -0.345
 20.578	 -0.105	 -0.335
 20.586	 -0.135	 -0.325
 20.594	 -0.155	 -0.295
 20.602	 -0.135	 -0.265
 20.609	 -0.095	 -0.225
 20.617	 -0.065	 -0.175
 20.625	 -0.065	 -0.115
 20.633	 -0.055	 -0.055
 20.641	 -0.055	 -0.035
 20.648	 -0.135	 -0.005
 20.656	 -0.135	  0.015
 20.664	 -0.125	 -0.005
 20.672	 -0.105	  0.015
 20.680	 -0.125	  0.025
 20.688	 -0.115	  0.005
 20.695	 -0.085	  0.025
 20.703	 -0.085	  0.035
 20.711	 -0.115	  0.035
 20.719	 -0.135	  0.015
 20.727	 -0.115	  0.005
 20.734	 -0.075	  0.045
 20.742	 -0.125	  0.035
 20.750	 -0.115	  0.005
 20.758	 -0.065	  0.025
 20.766	 -0.085	  0.045
 20.773	 -0.125	  0.005
 20.781	 -0.105	  0.005
 20.789	 -0.115	  0.015
 20.797	 -0.075	  0.025
 20.805	 -0.095	  0.025
 20.812	 -0.135	  0.025
 20.820	 -0.115	  0.025
 20.828	 -0.105	  0.015
 20.836	 -0.115	  0.005
 20.844	 -0.125	  0.015
 20.852	 -0.135	  0.005
 20.859	 -0.045	  0.075
 20.867	 -0.065	  0.055
 20.875	 -0.055	  0.045
 20.883	 -0.015	  0.065
 20.891	  0.075	  0.015
 20.898	  0.025	  0.005
 20.906	 -0.045	 -0.035
 20.914	 -0.085	 -0.025
 20.922	 -0.065	 -0.025
 20.930	 -0.085	  0.025
 20.938	 -0.065	 -0.005
 20.945	 -0.105	 -0.025
 20.953	 -0.155	 -0.005
 20.961	 -0.165	 -0.025
 20.969	 -0.165	 -0.035
 20.977	 -0.185	 -0.025
 20.984	 -0.135	 -0.015
 20.992	 -0.095	  0.065
 21.000	 -0.625	  0.115
 21.008	 -0.715	 -0.075
 21.016	  0.305	 -0.555
 21.023	  1.975	 -0.215
 21.031	  2.735	  0.135
 21.039	  2.575	  0.825
 21.047	  1.745	  0.105
 21.055	  0.065	 -0.775
 21.062	 -0.385	 -0.395
 21.070	 -0.285	 -0.085
 21.078	 -0.235	 -0.055
 21.086	 -0.325	 -0.055
 21.094	 -0.325	 -0.095
 21.102	 -0.305	 -0.085
 21.109	 -0.335	 -0.085
 21.117	 -0.295	 -0.095
 21.125	 -0.295	 -0.085
 21.133	 -0.255	 -0.125
 21.141	 -0.245	 -0.095
 21.148	 -0.225	 -0.135
 21.156	 -0.235	 -0.155
 21.164	 -0.205	 -0.145
 21.172	 -0.155	 -0.155
 21.180	 -0.145	 -0.195
 21.188	 -0.125	 -0.235
 21.195	 -0.135	 -0.215
 21.203	 -0.105	 -0.235
 21.211	 -0.115	 -0.265
 21.219	 -0.145	 -0.325
 21.227	 -0.125	 -0.315
 21.234	 -0.205	 -0.295
 21.242	 -0.155	 -0.285
 21.250	 -0.155	 -0.275
 21.258	 -0.145	 -0.255
 21.266	 -0.135	 -0.205
 21.273	 -0.125	 -0.155
 21.281	 -0.095	 -0.125
 21.289	 -0.085	 -0.055
 21.297	 -0.075	 -0.035
 21.305	 -0.105	 -0.035
 21.312	 -0.125	 -0.015
 21.320	 -0.115	 -0.015
 21.328	 -0.155	  0.005
 21.336	 -0.135	  0.025
 21.344	 -0.155	 -0.015
 21.352	 -0.105	 -0.005
 21.359	 -0.125	  0.005
 21.367	 -0.135	  0.025
 21.375	 -0.125	  0.005
 21.383	 -0.115	 -0.005
 21.391	 -0.125	  0.005
 21.398	 -0.105	 -0.005
 21.406	 -0.135	 -0.005
 21.414	 -0.115	 -0.005
 21.422	 -0.145	  0.035
 21.430	 -0.125	 -0.025
 21.438	 -0.125	 -0.025
 21.445	 -0.115	 -0.025
 21.453	 -0.095	  0.025
 21.461	 -0.125	  0.005
 21.469	 -0.115	  0.005
 21.477	 -0.135	 -0.025
 21.484	 -0.145	  0.025
 21.492	 -0.155	 -0.025
 21.500	 -0.155	 -0.035
 21.508	 -0.075	  0.035
 21.516	 -0.075	  0.055
 21.523	 -0.065	  0.105
